Caramellita;F;2002;2009;7;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1
Châtaigne;F;2013;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0
Claverina;F;2013;2019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0
Douillous;M;2019;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Esmolet;M;2014;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;1;0
Fadeta;F;2010;2010;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Fifonet;M;2015;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flocon;M;2015;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;0;1;0
Floreta;F;2010;2010;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fosca;F;2015;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1
